Filename,Eulerian Circuits,Time Elapsed (s),Status
random_g10_M100_r1.gr,512,7.8997,COMPLETE
random_g10_M100_r2.gr,512,7.18125,COMPLETE
random_g10_M100_r3.gr,512,7.76456,COMPLETE
random_g10_M120_r1.gr,512,15.313,COMPLETE
random_g10_M120_r2.gr,1024,14.1986,COMPLETE
random_g10_M120_r3.gr,512,15.6142,COMPLETE
random_g10_M150_r1.gr,1024,21.0441,COMPLETE
random_g10_M150_r2.gr,1024,21.9307,COMPLETE
random_g10_M150_r3.gr,512,21.8078,COMPLETE
random_g10_M180_r1.gr,512,43.2356,COMPLETE
random_g10_M180_r2.gr,1024,46.3946,COMPLETE
random_g10_M180_r3.gr,512,49.1763,COMPLETE
random_g10_M210_r1.gr,512,81.3192,COMPLETE
random_g10_M210_r2.gr,512,85.367,COMPLETE
random_g10_M210_r3.gr,1024,79.1895,COMPLETE
random_g10_M250_r1.gr,1024,161.693,COMPLETE
random_g10_M250_r2.gr,512,168.648,COMPLETE
random_g10_M250_r3.gr,512,173.599,COMPLETE
random_g10_M300_r1.gr,1024,213.02,COMPLETE
random_g10_M300_r2.gr,512,196.104,COMPLETE
random_g10_M300_r3.gr,512,186.764,COMPLETE
random_g10_M40_r1.gr,6144,0.4844,COMPLETE
random_g10_M40_r2.gr,1024,0.619689,COMPLETE
random_g10_M40_r3.gr,6144,0.554282,COMPLETE
random_g10_M60_r1.gr,512,1.85215,COMPLETE
random_g10_M60_r2.gr,2048,2.23416,COMPLETE
random_g10_M60_r3.gr,3072,2.58321,COMPLETE
random_g10_M80_r1.gr,2048,4.68184,COMPLETE
random_g10_M80_r2.gr,3072,4.74073,COMPLETE
random_g10_M80_r3.gr,512,3.92169,COMPLETE
random_g12_M120_r1.gr,4096,88.5585,COMPLETE
random_g12_M120_r2.gr,2048,77.4708,COMPLETE
random_g12_M120_r3.gr,2048,74.2236,COMPLETE
random_g12_M150_r1.gr,4096,115.983,COMPLETE
random_g12_M150_r2.gr,4096,117.68,COMPLETE
random_g12_M150_r3.gr,2048,109.098,COMPLETE
random_g12_M180_r1.gr,4096,269.783,COMPLETE
random_g12_M180_r2.gr,2048,255.096,COMPLETE
random_g12_M180_r3.gr,4096,243.893,COMPLETE
random_g12_M220_r1.gr,2048,519.347,COMPLETE
random_g12_M220_r2.gr,4096,469.321,COMPLETE
random_g12_M220_r3.gr,2048,524.443,COMPLETE
random_g12_M260_r1.gr,-609079,601.143,PARTIAL(3339/4096)
random_g12_M260_r2.gr,115470,601.018,PARTIAL(3427/4096)
random_g12_M260_r3.gr,-235055,601.515,PARTIAL(3248/4096)
random_g12_M300_r1.gr,615342,601.419,PARTIAL(2550/4096)
random_g12_M300_r2.gr,97001,602.061,PARTIAL(2311/4096)
random_g12_M300_r3.gr,-41987,601.614,PARTIAL(2434/4096)
random_g12_M350_r1.gr,2323288,602.863,PARTIAL(1141/4096)
random_g12_M350_r2.gr,-118435965,602.777,PARTIAL(1044/4096)
random_g12_M350_r3.gr,10292,602.283,PARTIAL(1724/4096)
random_g12_M50_r1.gr,4096,4.35169,COMPLETE
random_g12_M50_r2.gr,98304,4.41711,COMPLETE
random_g12_M50_r3.gr,8192,4.9665,COMPLETE
random_g12_M70_r1.gr,8192,9.86285,COMPLETE
random_g12_M70_r2.gr,4096,8.69805,COMPLETE
random_g12_M70_r3.gr,8192,11.6542,COMPLETE
random_g12_M90_r1.gr,4096,25.7165,COMPLETE
random_g12_M90_r2.gr,4096,30.3384,COMPLETE
random_g12_M90_r3.gr,2048,26.0095,COMPLETE
random_g8_M110_r1.gr,256,2.27759,COMPLETE
random_g8_M110_r2.gr,128,2.12171,COMPLETE
random_g8_M110_r3.gr,128,1.62609,COMPLETE
random_g8_M130_r1.gr,128,3.13433,COMPLETE
random_g8_M130_r2.gr,256,2.47342,COMPLETE
random_g8_M130_r3.gr,128,2.50988,COMPLETE
random_g8_M150_r1.gr,128,4.2428,COMPLETE
random_g8_M150_r2.gr,128,4.4376,COMPLETE
random_g8_M150_r3.gr,128,4.16661,COMPLETE
random_g8_M180_r1.gr,256,8.50784,COMPLETE
random_g8_M180_r2.gr,128,6.3505,COMPLETE
random_g8_M180_r3.gr,256,8.69632,COMPLETE
random_g8_M210_r1.gr,128,14.6011,COMPLETE
random_g8_M210_r2.gr,128,12.8139,COMPLETE
random_g8_M210_r3.gr,256,11.6658,COMPLETE
random_g8_M250_r1.gr,256,32.5104,COMPLETE
random_g8_M250_r2.gr,128,28.1257,COMPLETE
random_g8_M250_r3.gr,128,28.6288,COMPLETE
random_g8_M30_r1.gr,256,0.0392478,COMPLETE
random_g8_M30_r2.gr,128,0.0429325,COMPLETE
random_g8_M30_r3.gr,256,0.0520935,COMPLETE
random_g8_M50_r1.gr,128,0.327964,COMPLETE
random_g8_M50_r2.gr,768,0.398607,COMPLETE
random_g8_M50_r3.gr,128,0.191116,COMPLETE
random_g8_M70_r1.gr,256,0.332784,COMPLETE
random_g8_M70_r2.gr,128,0.469352,COMPLETE
random_g8_M70_r3.gr,128,0.427007,COMPLETE
random_g8_M90_r1.gr,128,0.922179,COMPLETE
random_g8_M90_r2.gr,128,1.12064,COMPLETE
random_g8_M90_r3.gr,128,0.900091,COMPLETE
